season,competition,league_tier,ssn_comp_game_no,ranking,pld,pts,manager
2022/23,League Two,4.0,9.0,14.0,9,10,Micky Mellon
2022/23,League Two,4.0,8.0,16.0,8,7,Micky Mellon
2022/23,League Two,4.0,7.0,16.0,7,7,Micky Mellon
2022/23,League Two,4.0,6.0,15.0,6,7,Micky Mellon
2022/23,League Two,4.0,5.0,17.0,5,4,Micky Mellon
2022/23,League Two,4.0,4.0,13.0,4,4,Micky Mellon
2022/23,League Two,4.0,3.0,15.0,3,3,Micky Mellon
2022/23,League Two,4.0,2.0,22.0,2,0,Micky Mellon
2022/23,League Two,4.0,1.0,17.0,1,0,Micky Mellon
2021/22,League Two,4.0,46.0,9.0,46,75,Micky Mellon
2021/22,League Two,4.0,45.0,9.0,45,72,Micky Mellon
2021/22,League Two,4.0,44.0,9.0,44,69,Micky Mellon
2021/22,League Two,4.0,43.0,7.0,43,69,Micky Mellon
2021/22,League Two,4.0,42.0,9.0,42,66,Micky Mellon
2021/22,League Two,4.0,41.0,9.0,41,65,Micky Mellon
2021/22,League Two,4.0,40.0,7.0,40,64,Micky Mellon
2021/22,League Two,4.0,39.0,7.0,39,63,Micky Mellon
2021/22,League Two,4.0,38.0,5.0,38,63,Micky Mellon
2021/22,League Two,4.0,37.0,4.0,37,62,Micky Mellon
2021/22,League Two,4.0,36.0,3.0,36,59,Micky Mellon
2021/22,League Two,4.0,35.0,6.0,35,56,Micky Mellon
2021/22,League Two,4.0,34.0,3.0,34,56,Micky Mellon
2021/22,League Two,4.0,33.0,2.0,33,56,Micky Mellon
2021/22,League Two,4.0,32.0,2.0,32,55,Micky Mellon
2021/22,League Two,4.0,31.0,2.0,31,55,Micky Mellon
2021/22,League Two,4.0,30.0,2.0,30,55,Micky Mellon
2021/22,League Two,4.0,29.0,2.0,29,52,Micky Mellon
2021/22,League Two,4.0,28.0,2.0,28,51,Micky Mellon
2021/22,League Two,4.0,27.0,2.0,27,48,Micky Mellon
2021/22,League Two,4.0,26.0,2.0,26,48,Micky Mellon
2021/22,League Two,4.0,25.0,2.0,25,45,Micky Mellon
2021/22,League Two,4.0,24.0,2.0,24,42,Micky Mellon
2021/22,League Two,4.0,23.0,2.0,23,41,Micky Mellon
2021/22,League Two,4.0,22.0,3.0,22,38,Micky Mellon
2021/22,League Two,4.0,21.0,5.0,21,35,Micky Mellon
2021/22,League Two,4.0,20.0,8.0,20,32,Micky Mellon
2021/22,League Two,4.0,19.0,10.0,19,29,Micky Mellon
2021/22,League Two,4.0,18.0,10.0,18,26,Micky Mellon
2021/22,League Two,4.0,17.0,11.0,17,23,Micky Mellon
2021/22,League Two,4.0,16.0,12.0,16,22,Micky Mellon
2021/22,League Two,4.0,15.0,11.0,15,22,Micky Mellon
2021/22,League Two,4.0,14.0,8.0,14,22,Micky Mellon
2021/22,League Two,4.0,13.0,5.0,13,22,Micky Mellon
2021/22,League Two,4.0,12.0,4.0,12,21,Micky Mellon
2021/22,League Two,4.0,11.0,4.0,11,18,Micky Mellon
2021/22,League Two,4.0,10.0,9.0,10,15,Micky Mellon
2021/22,League Two,4.0,9.0,13.0,9,12,Micky Mellon
2021/22,League Two,4.0,8.0,11.0,8,11,Micky Mellon
2021/22,League Two,4.0,7.0,15.0,7,8,Micky Mellon
2021/22,League Two,4.0,6.0,11.0,6,8,Micky Mellon
2021/22,League Two,4.0,5.0,19.0,5,5,Micky Mellon
2021/22,League Two,4.0,4.0,14.0,4,5,Micky Mellon
2021/22,League Two,4.0,3.0,7.0,3,5,Micky Mellon
2021/22,League Two,4.0,2.0,8.0,2,4,Micky Mellon
2021/22,League Two,4.0,1.0,5.0,1,3,Micky Mellon
2020/21,League Two,4.0,46.0,7.0,46,73,Keith Hill
2020/21,League Two,4.0,45.0,6.0,45,72,Keith Hill
2020/21,League Two,4.0,44.0,5.0,44,72,Keith Hill
2020/21,League Two,4.0,43.0,5.0,43,69,Keith Hill
2020/21,League Two,4.0,42.0,5.0,42,66,Keith Hill
2020/21,League Two,4.0,41.0,5.0,41,65,Keith Hill
2020/21,League Two,4.0,40.0,4.0,40,65,Keith Hill
2020/21,League Two,4.0,39.0,3.0,39,64,Keith Hill
2020/21,League Two,4.0,38.0,4.0,38,63,Keith Hill
2020/21,League Two,4.0,37.0,3.0,37,63,Keith Hill
2020/21,League Two,4.0,36.0,4.0,36,62,Keith Hill
2020/21,League Two,4.0,35.0,4.0,35,61,Keith Hill
2020/21,League Two,4.0,34.0,4.0,34,58,Keith Hill
2020/21,League Two,4.0,33.0,4.0,33,57,Keith Hill
2020/21,League Two,4.0,32.0,5.0,32,54,Keith Hill
2020/21,League Two,4.0,31.0,4.0,31,54,Keith Hill
2020/21,League Two,4.0,30.0,4.0,30,51,Keith Hill
2020/21,League Two,4.0,29.0,5.0,29,48,Keith Hill
2020/21,League Two,4.0,28.0,6.0,28,45,Keith Hill
2020/21,League Two,4.0,27.0,4.0,27,44,Keith Hill
2020/21,League Two,4.0,26.0,3.0,26,44,Keith Hill
2020/21,League Two,4.0,25.0,5.0,25,41,Keith Hill
2020/21,League Two,4.0,24.0,8.0,24,38,Keith Hill
2020/21,League Two,4.0,23.0,10.0,23,35,Keith Hill
2020/21,League Two,4.0,22.0,11.0,22,32,Keith Hill
2020/21,League Two,4.0,21.0,15.0,21,29,Keith Hill
2020/21,League Two,4.0,20.0,13.0,20,28,Keith Hill
2020/21,League Two,4.0,19.0,13.0,19,27,Keith Hill
2020/21,League Two,4.0,18.0,13.0,18,27,Keith Hill
2020/21,League Two,4.0,17.0,12.0,17,24,Keith Hill
2020/21,League Two,4.0,16.0,10.0,16,24,Keith Hill
2020/21,League Two,4.0,15.0,7.0,15,24,Keith Hill
2020/21,League Two,4.0,14.0,9.0,14,21,Keith Hill
2020/21,League Two,4.0,13.0,13.0,13,18,Ian Dawes
2020/21,League Two,4.0,12.0,15.0,12,15,Ian Dawes
2020/21,League Two,4.0,11.0,17.0,11,12,Ian Dawes
2020/21,League Two,4.0,10.0,18.0,10,9,Michael Jackson
2020/21,League Two,4.0,9.0,17.0,9,9,Michael Jackson
2020/21,League Two,4.0,8.0,16.0,8,9,Michael Jackson
2020/21,League Two,4.0,7.0,17.0,7,6,Michael Jackson
2020/21,League Two,4.0,6.0,16.0,6,6,Michael Jackson
2020/21,League Two,4.0,5.0,13.0,5,6,Michael Jackson
2020/21,League Two,4.0,4.0,15.0,4,5,Michael Jackson
2020/21,League Two,4.0,3.0,20.0,3,2,Michael Jackson
2020/21,League Two,4.0,2.0,20.0,2,1,Michael Jackson
2020/21,League Two,4.0,1.0,14.0,1,1,Michael Jackson
2019/20,League One,3.0,34.0,21.0,34,32,Micky Mellon
2019/20,League One,3.0,33.0,21.0,33,29,Micky Mellon
2019/20,League One,3.0,32.0,21.0,32,26,Micky Mellon
2019/20,League One,3.0,31.0,21.0,31,23,Micky Mellon
2019/20,League One,3.0,30.0,21.0,30,23,Micky Mellon
2019/20,League One,3.0,29.0,21.0,29,22,Micky Mellon
2019/20,League One,3.0,28.0,21.0,28,22,Micky Mellon
2019/20,League One,3.0,27.0,21.0,27,22,Micky Mellon
2019/20,League One,3.0,26.0,21.0,26,22,Micky Mellon
2019/20,League One,3.0,25.0,21.0,25,22,Micky Mellon
2019/20,League One,3.0,24.0,21.0,24,22,Micky Mellon
2019/20,League One,3.0,23.0,21.0,23,21,Micky Mellon
2019/20,League One,3.0,22.0,20.0,22,21,Micky Mellon
2019/20,League One,3.0,21.0,20.0,21,20,Micky Mellon
2019/20,League One,3.0,20.0,20.0,20,20,Micky Mellon
2019/20,League One,3.0,19.0,20.0,19,17,Micky Mellon
2019/20,League One,3.0,18.0,20.0,18,17,Micky Mellon
2019/20,League One,3.0,17.0,20.0,17,16,Micky Mellon
2019/20,League One,3.0,16.0,18.0,16,16,Micky Mellon
2019/20,League One,3.0,15.0,18.0,15,16,Micky Mellon
2019/20,League One,3.0,14.0,20.0,14,13,Micky Mellon
2019/20,League One,3.0,13.0,17.0,13,13,Micky Mellon
2019/20,League One,3.0,12.0,18.0,12,12,Micky Mellon
2019/20,League One,3.0,11.0,20.0,11,9,Micky Mellon
2019/20,League One,3.0,10.0,20.0,10,9,Micky Mellon
2019/20,League One,3.0,9.0,18.0,9,9,Micky Mellon
2019/20,League One,3.0,8.0,19.0,8,6,Micky Mellon
2019/20,League One,3.0,7.0,19.0,7,5,Micky Mellon
2019/20,League One,3.0,6.0,17.0,6,5,Micky Mellon
2019/20,League One,3.0,5.0,19.0,5,4,Micky Mellon
2019/20,League One,3.0,4.0,18.0,4,3,Micky Mellon
2019/20,League One,3.0,3.0,13.0,3,3,Micky Mellon
2019/20,League One,3.0,2.0,20.0,2,0,Micky Mellon
2019/20,League One,3.0,1.0,14.0,1,0,Micky Mellon
2018/19,League Two,4.0,46.0,6.0,46,73,Micky Mellon
2018/19,League Two,4.0,45.0,6.0,45,73,Micky Mellon
2018/19,League Two,4.0,44.0,6.0,44,72,Micky Mellon
2018/19,League Two,4.0,43.0,5.0,43,71,Micky Mellon
2018/19,League Two,4.0,42.0,5.0,42,71,Micky Mellon
2018/19,League Two,4.0,41.0,5.0,41,68,Micky Mellon
2018/19,League Two,4.0,40.0,5.0,40,67,Micky Mellon
2018/19,League Two,4.0,39.0,5.0,39,67,Micky Mellon
2018/19,League Two,4.0,38.0,5.0,38,64,Micky Mellon
2018/19,League Two,4.0,37.0,5.0,37,61,Micky Mellon
2018/19,League Two,4.0,36.0,5.0,36,58,Micky Mellon
2018/19,League Two,4.0,35.0,6.0,35,55,Micky Mellon
2018/19,League Two,4.0,34.0,9.0,34,52,Micky Mellon
2018/19,League Two,4.0,33.0,9.0,33,49,Micky Mellon
2018/19,League Two,4.0,32.0,11.0,32,46,Micky Mellon
2018/19,League Two,4.0,31.0,10.0,31,45,Micky Mellon
2018/19,League Two,4.0,30.0,10.0,30,42,Micky Mellon
2018/19,League Two,4.0,29.0,10.0,29,42,Micky Mellon
2018/19,League Two,4.0,28.0,10.0,28,42,Micky Mellon
2018/19,League Two,4.0,27.0,9.0,27,42,Micky Mellon
2018/19,League Two,4.0,26.0,9.0,26,39,Micky Mellon
2018/19,League Two,4.0,25.0,9.0,25,38,Micky Mellon
2018/19,League Two,4.0,24.0,8.0,24,37,Micky Mellon
2018/19,League Two,4.0,23.0,9.0,23,34,Micky Mellon
2018/19,League Two,4.0,22.0,8.0,22,34,Micky Mellon
2018/19,League Two,4.0,21.0,7.0,21,34,Micky Mellon
2018/19,League Two,4.0,20.0,8.0,20,31,Micky Mellon
2018/19,League Two,4.0,19.0,7.0,19,31,Micky Mellon
2018/19,League Two,4.0,18.0,7.0,18,30,Micky Mellon
2018/19,League Two,4.0,17.0,4.0,17,30,Micky Mellon
2018/19,League Two,4.0,16.0,7.0,16,27,Micky Mellon
2018/19,League Two,4.0,15.0,7.0,15,24,Micky Mellon
2018/19,League Two,4.0,14.0,6.0,14,24,Micky Mellon
2018/19,League Two,4.0,13.0,4.0,13,23,Micky Mellon
2018/19,League Two,4.0,12.0,7.0,12,20,Micky Mellon
2018/19,League Two,4.0,11.0,10.0,11,17,Micky Mellon
2018/19,League Two,4.0,10.0,15.0,10,14,Micky Mellon
2018/19,League Two,4.0,9.0,12.0,9,13,Micky Mellon
2018/19,League Two,4.0,8.0,8.0,8,13,Micky Mellon
2018/19,League Two,4.0,7.0,14.0,7,10,Micky Mellon
2018/19,League Two,4.0,6.0,11.0,6,9,Micky Mellon
2018/19,League Two,4.0,5.0,9.0,5,8,Micky Mellon
2018/19,League Two,4.0,4.0,14.0,4,5,Micky Mellon
2018/19,League Two,4.0,3.0,13.0,3,4,Micky Mellon
2018/19,League Two,4.0,2.0,8.0,2,4,Micky Mellon
2018/19,League Two,4.0,1.0,11.0,1,1,Micky Mellon
2014/15,League Two,4.0,46.0,24.0,46,39,Alan Rogers
2014/15,League Two,4.0,45.0,24.0,45,39,Alan Rogers
2014/15,League Two,4.0,44.0,24.0,44,39,Mickey Adams
2014/15,League Two,4.0,43.0,24.0,43,39,Mickey Adams
2014/15,League Two,4.0,42.0,23.0,42,39,Mickey Adams
2014/15,League Two,4.0,41.0,23.0,41,39,Mickey Adams
2014/15,League Two,4.0,40.0,23.0,40,39,Mickey Adams
2014/15,League Two,4.0,39.0,23.0,39,38,Mickey Adams
2014/15,League Two,4.0,38.0,22.0,38,37,Mickey Adams
2014/15,League Two,4.0,37.0,22.0,37,37,Mickey Adams
2014/15,League Two,4.0,36.0,23.0,36,34,Mickey Adams
2014/15,League Two,4.0,35.0,23.0,35,34,Mickey Adams
2014/15,League Two,4.0,34.0,22.0,34,34,Mickey Adams
2014/15,League Two,4.0,33.0,20.0,33,34,Mickey Adams
2014/15,League Two,4.0,32.0,20.0,32,34,Mickey Adams
2014/15,League Two,4.0,31.0,20.0,31,34,Mickey Adams
2014/15,League Two,4.0,30.0,22.0,30,31,Mickey Adams
2014/15,League Two,4.0,29.0,20.0,29,31,Mickey Adams
2014/15,League Two,4.0,28.0,21.0,28,30,Mickey Adams
2014/15,League Two,4.0,27.0,17.0,27,30,Mickey Adams
2014/15,League Two,4.0,26.0,21.0,26,27,Mickey Adams
2014/15,League Two,4.0,25.0,22.0,25,26,Mickey Adams
2014/15,League Two,4.0,24.0,23.0,24,23,Mickey Adams
2014/15,League Two,4.0,23.0,22.0,23,22,Mickey Adams
2014/15,League Two,4.0,22.0,23.0,22,19,Mickey Adams
2014/15,League Two,4.0,21.0,21.0,21,19,Mickey Adams
2014/15,League Two,4.0,20.0,22.0,20,18,Mickey Adams
2014/15,League Two,4.0,19.0,23.0,19,15,Mickey Adams
2014/15,League Two,4.0,18.0,23.0,18,12,Mickey Adams
2014/15,League Two,4.0,17.0,23.0,17,12,Mickey Adams
2014/15,League Two,4.0,16.0,23.0,16,12,Mickey Adams
2014/15,League Two,4.0,15.0,23.0,15,11,Mickey Adams
2014/15,League Two,4.0,14.0,24.0,14,10,Mickey Adams
2014/15,League Two,4.0,13.0,24.0,13,9,Mickey Adams
2014/15,League Two,4.0,12.0,24.0,12,9,Rob Edwards
2014/15,League Two,4.0,11.0,22.0,11,9,Rob Edwards
2014/15,League Two,4.0,10.0,20.0,10,9,Rob Edwards
2014/15,League Two,4.0,9.0,18.0,9,9,Rob Edwards
2014/15,League Two,4.0,8.0,15.0,8,9,Rob Edwards
2014/15,League Two,4.0,7.0,14.0,7,8,Rob Edwards
2014/15,League Two,4.0,6.0,15.0,6,7,Rob Edwards
2014/15,League Two,4.0,5.0,11.0,5,7,Rob Edwards
2014/15,League Two,4.0,4.0,15.0,4,4,Rob Edwards
2014/15,League Two,4.0,3.0,11.0,3,4,Rob Edwards
2014/15,League Two,4.0,2.0,17.0,2,1,Rob Edwards
2014/15,League Two,4.0,1.0,12.0,1,1,Rob Edwards
2013/14,League One,3.0,46.0,21.0,46,47,John McMahon
2013/14,League One,3.0,45.0,21.0,45,47,John McMahon
2013/14,League One,3.0,44.0,19.0,44,47,John McMahon
2013/14,League One,3.0,43.0,19.0,43,46,John McMahon
2013/14,League One,3.0,42.0,19.0,42,46,John McMahon
2013/14,League One,3.0,41.0,19.0,41,46,John McMahon
2013/14,League One,3.0,40.0,19.0,40,43,Ronnie Moore
2013/14,League One,3.0,39.0,20.0,39,40,Ronnie Moore
2013/14,League One,3.0,38.0,20.0,38,39,Ronnie Moore
2013/14,League One,3.0,37.0,20.0,37,39,Ronnie Moore
2013/14,League One,3.0,36.0,19.0,36,39,Ronnie Moore
2013/14,League One,3.0,35.0,21.0,35,36,Ronnie Moore
2013/14,League One,3.0,34.0,20.0,34,36,Ronnie Moore
2013/14,League One,3.0,33.0,18.0,33,36,Ronnie Moore
2013/14,League One,3.0,32.0,18.0,32,35,Ronnie Moore
2013/14,League One,3.0,31.0,18.0,31,32,Ronnie Moore
2013/14,League One,3.0,30.0,17.0,30,31,Ronnie Moore
2013/14,League One,3.0,29.0,17.0,29,31,Ronnie Moore
2013/14,League One,3.0,28.0,18.0,28,28,Ronnie Moore
2013/14,League One,3.0,27.0,17.0,27,28,Ronnie Moore
2013/14,League One,3.0,26.0,21.0,26,25,Ronnie Moore
2013/14,League One,3.0,25.0,20.0,25,25,Ronnie Moore
2013/14,League One,3.0,24.0,20.0,24,24,Ronnie Moore
2013/14,League One,3.0,23.0,20.0,23,23,Ronnie Moore
2013/14,League One,3.0,22.0,19.0,22,23,Ronnie Moore
2013/14,League One,3.0,21.0,20.0,21,20,Ronnie Moore
2013/14,League One,3.0,20.0,20.0,20,20,Ronnie Moore
2013/14,League One,3.0,19.0,19.0,19,20,Ronnie Moore
2013/14,League One,3.0,18.0,20.0,18,17,Ronnie Moore
2013/14,League One,3.0,17.0,19.0,17,17,Ronnie Moore
2013/14,League One,3.0,16.0,21.0,16,14,Ronnie Moore
2013/14,League One,3.0,15.0,20.0,15,13,Ronnie Moore
2013/14,League One,3.0,14.0,21.0,14,12,Ronnie Moore
2013/14,League One,3.0,13.0,22.0,13,9,Ronnie Moore
2013/14,League One,3.0,12.0,22.0,12,8,Ronnie Moore
2013/14,League One,3.0,11.0,21.0,11,8,Ronnie Moore
2013/14,League One,3.0,10.0,24.0,10,5,Ronnie Moore
2013/14,League One,3.0,9.0,21.0,9,5,Ronnie Moore
2013/14,League One,3.0,8.0,19.0,8,5,Ronnie Moore
2013/14,League One,3.0,7.0,17.0,7,5,Ronnie Moore
2013/14,League One,3.0,6.0,18.0,6,5,Ronnie Moore
2013/14,League One,3.0,5.0,18.0,5,4,Ronnie Moore
2013/14,League One,3.0,4.0,22.0,4,1,Ronnie Moore
2013/14,League One,3.0,3.0,19.0,3,1,Ronnie Moore
2013/14,League One,3.0,2.0,18.0,2,1,Ronnie Moore
2013/14,League One,3.0,1.0,22.0,1,0,Ronnie Moore
2012/13,League One,3.0,46.0,11.0,46,67,Ronnie Moore
2012/13,League One,3.0,45.0,10.0,45,66,Ronnie Moore
2012/13,League One,3.0,44.0,9.0,44,66,Ronnie Moore
2012/13,League One,3.0,43.0,7.0,43,66,Ronnie Moore
2012/13,League One,3.0,42.0,7.0,42,66,Ronnie Moore
2012/13,League One,3.0,41.0,6.0,41,66,Ronnie Moore
2012/13,League One,3.0,40.0,5.0,40,66,Ronnie Moore
2012/13,League One,3.0,39.0,7.0,39,63,Ronnie Moore
2012/13,League One,3.0,38.0,5.0,38,63,Ronnie Moore
2012/13,League One,3.0,37.0,4.0,37,63,Ronnie Moore
2012/13,League One,3.0,36.0,6.0,36,60,Ronnie Moore
2012/13,League One,3.0,35.0,3.0,35,60,Ronnie Moore
2012/13,League One,3.0,34.0,3.0,34,59,Ronnie Moore
2012/13,League One,3.0,33.0,6.0,33,56,Ronnie Moore
2012/13,League One,3.0,32.0,3.0,32,56,Ronnie Moore
2012/13,League One,3.0,31.0,1.0,31,56,Ronnie Moore
2012/13,League One,3.0,30.0,1.0,30,56,Ronnie Moore
2012/13,League One,3.0,29.0,1.0,29,56,Ronnie Moore
2012/13,League One,3.0,28.0,1.0,28,53,Ronnie Moore
2012/13,League One,3.0,27.0,1.0,27,53,Ronnie Moore
2012/13,League One,3.0,26.0,1.0,26,50,Ronnie Moore
2012/13,League One,3.0,25.0,1.0,25,47,Ronnie Moore
2012/13,League One,3.0,24.0,2.0,24,44,Ronnie Moore
2012/13,League One,3.0,23.0,1.0,23,41,Ronnie Moore
2012/13,League One,3.0,22.0,1.0,22,41,Ronnie Moore
2012/13,League One,3.0,21.0,1.0,21,40,Ronnie Moore
2012/13,League One,3.0,20.0,1.0,20,39,Ronnie Moore
2012/13,League One,3.0,19.0,1.0,19,38,Ronnie Moore
2012/13,League One,3.0,18.0,1.0,18,37,Ronnie Moore
2012/13,League One,3.0,17.0,1.0,17,37,Ronnie Moore
2012/13,League One,3.0,16.0,1.0,16,34,Ronnie Moore
2012/13,League One,3.0,15.0,1.0,15,31,Ronnie Moore
2012/13,League One,3.0,14.0,1.0,14,30,Ronnie Moore
2012/13,League One,3.0,13.0,1.0,13,30,Ronnie Moore
2012/13,League One,3.0,12.0,1.0,12,30,Ronnie Moore
2012/13,League One,3.0,11.0,1.0,11,27,Ronnie Moore
2012/13,League One,3.0,10.0,1.0,10,24,Ronnie Moore
2012/13,League One,3.0,9.0,1.0,9,21,Ronnie Moore
2012/13,League One,3.0,8.0,1.0,8,20,Ronnie Moore
2012/13,League One,3.0,7.0,1.0,7,17,Ronnie Moore
2012/13,League One,3.0,6.0,1.0,6,14,Ronnie Moore
2012/13,League One,3.0,5.0,2.0,5,11,Ronnie Moore
2012/13,League One,3.0,4.0,1.0,4,10,Ronnie Moore
2012/13,League One,3.0,3.0,2.0,3,7,Ronnie Moore
2012/13,League One,3.0,2.0,1.0,2,6,Ronnie Moore
2012/13,League One,3.0,1.0,3.0,1,3,Ronnie Moore
2011/12,League One,3.0,46.0,12.0,46,56,Ronnie Moore
2011/12,League One,3.0,45.0,13.0,45,55,Ronnie Moore
2011/12,League One,3.0,44.0,11.0,44,55,Ronnie Moore
2011/12,League One,3.0,43.0,11.0,43,54,Ronnie Moore
2011/12,League One,3.0,42.0,13.0,42,51,Ronnie Moore
2011/12,League One,3.0,41.0,11.0,41,51,Ronnie Moore
2011/12,League One,3.0,40.0,13.0,40,48,Ronnie Moore
2011/12,League One,3.0,39.0,12.0,39,48,Ronnie Moore
2011/12,League One,3.0,38.0,15.0,38,45,Ronnie Moore
2011/12,League One,3.0,37.0,16.0,37,42,Ronnie Moore
2011/12,League One,3.0,36.0,16.0,36,41,Ronnie Moore
2011/12,League One,3.0,35.0,19.0,35,38,Ronnie Moore
2011/12,League One,3.0,34.0,20.0,34,35,Ronnie Moore
2011/12,League One,3.0,33.0,19.0,33,34,Les Parry
2011/12,League One,3.0,32.0,17.0,32,34,Les Parry
2011/12,League One,3.0,31.0,17.0,31,34,Les Parry
2011/12,League One,3.0,30.0,17.0,30,33,Les Parry
2011/12,League One,3.0,29.0,17.0,29,32,Les Parry
2011/12,League One,3.0,28.0,17.0,28,32,Les Parry
2011/12,League One,3.0,27.0,17.0,27,31,Les Parry
2011/12,League One,3.0,26.0,16.0,26,31,Les Parry
2011/12,League One,3.0,25.0,17.0,25,30,Les Parry
2011/12,League One,3.0,24.0,17.0,24,30,Les Parry
2011/12,League One,3.0,23.0,16.0,23,29,Les Parry
2011/12,League One,3.0,22.0,12.0,22,29,Les Parry
2011/12,League One,3.0,21.0,15.0,21,26,Les Parry
2011/12,League One,3.0,20.0,15.0,20,26,Les Parry
2011/12,League One,3.0,19.0,12.0,19,26,Les Parry
2011/12,League One,3.0,18.0,8.0,18,26,Les Parry
2011/12,League One,3.0,17.0,8.0,17,26,Les Parry
2011/12,League One,3.0,16.0,7.0,16,25,Les Parry
2011/12,League One,3.0,15.0,6.0,15,25,Les Parry
2011/12,League One,3.0,14.0,8.0,14,22,Les Parry
2011/12,League One,3.0,13.0,11.0,13,19,Les Parry
2011/12,League One,3.0,12.0,12.0,12,16,Les Parry
2011/12,League One,3.0,11.0,12.0,11,15,Les Parry
2011/12,League One,3.0,10.0,11.0,10,14,Les Parry
2011/12,League One,3.0,9.0,10.0,9,14,Les Parry
2011/12,League One,3.0,8.0,12.0,8,11,Les Parry
2011/12,League One,3.0,7.0,10.0,7,11,Les Parry
2011/12,League One,3.0,6.0,5.0,6,11,Les Parry
2011/12,League One,3.0,5.0,5.0,5,10,Les Parry
2011/12,League One,3.0,4.0,6.0,4,7,Les Parry
2011/12,League One,3.0,3.0,5.0,3,6,Les Parry
2011/12,League One,3.0,2.0,3.0,2,6,Les Parry
2011/12,League One,3.0,1.0,7.0,1,3,Les Parry
2010/11,League One,3.0,46.0,17.0,46,56,Les Parry
2010/11,League One,3.0,45.0,15.0,45,56,Les Parry
2010/11,League One,3.0,44.0,16.0,44,53,Les Parry
2010/11,League One,3.0,43.0,18.0,43,50,Les Parry
2010/11,League One,3.0,42.0,18.0,42,49,Les Parry
2010/11,League One,3.0,41.0,18.0,41,49,Les Parry
2010/11,League One,3.0,40.0,18.0,40,46,Les Parry
2010/11,League One,3.0,39.0,18.0,39,43,Les Parry
2010/11,League One,3.0,38.0,18.0,38,43,Les Parry
2010/11,League One,3.0,37.0,18.0,37,43,Les Parry
2010/11,League One,3.0,36.0,18.0,36,42,Les Parry
2010/11,League One,3.0,35.0,18.0,35,39,Les Parry
2010/11,League One,3.0,34.0,18.0,34,39,Les Parry
2010/11,League One,3.0,33.0,18.0,33,39,Les Parry
2010/11,League One,3.0,32.0,18.0,32,38,Les Parry
2010/11,League One,3.0,31.0,18.0,31,37,Les Parry
2010/11,League One,3.0,30.0,17.0,30,37,Les Parry
2010/11,League One,3.0,29.0,15.0,29,37,Les Parry
2010/11,League One,3.0,28.0,15.0,28,37,Les Parry
2010/11,League One,3.0,27.0,17.0,27,34,Les Parry
2010/11,League One,3.0,26.0,20.0,26,31,Les Parry
2010/11,League One,3.0,25.0,19.0,25,30,Les Parry
2010/11,League One,3.0,24.0,19.0,24,29,Les Parry
2010/11,League One,3.0,23.0,20.0,23,26,Les Parry
2010/11,League One,3.0,22.0,20.0,22,26,Les Parry
2010/11,League One,3.0,21.0,20.0,21,25,Les Parry
2010/11,League One,3.0,20.0,20.0,20,22,Les Parry
2010/11,League One,3.0,19.0,20.0,19,22,Les Parry
2010/11,League One,3.0,18.0,17.0,18,22,Les Parry
2010/11,League One,3.0,17.0,14.0,17,22,Les Parry
2010/11,League One,3.0,16.0,20.0,16,19,Les Parry
2010/11,League One,3.0,15.0,21.0,15,16,Les Parry
2010/11,League One,3.0,14.0,20.0,14,16,Les Parry
2010/11,League One,3.0,13.0,22.0,13,13,Les Parry
2010/11,League One,3.0,12.0,24.0,12,10,Les Parry
2010/11,League One,3.0,11.0,22.0,11,10,Les Parry
2010/11,League One,3.0,10.0,21.0,10,10,Les Parry
2010/11,League One,3.0,9.0,18.0,9,9,Les Parry
2010/11,League One,3.0,8.0,23.0,8,6,Les Parry
2010/11,League One,3.0,7.0,20.0,7,6,Les Parry
2010/11,League One,3.0,6.0,21.0,6,5,Les Parry
2010/11,League One,3.0,5.0,15.0,5,5,Les Parry
2010/11,League One,3.0,4.0,22.0,4,2,Les Parry
2010/11,League One,3.0,3.0,23.0,3,1,Les Parry
2010/11,League One,3.0,2.0,19.0,2,1,Les Parry
2010/11,League One,3.0,1.0,15.0,1,0,Les Parry
2009/10,League One,3.0,46.0,19.0,46,51,Les Parry
2009/10,League One,3.0,45.0,21.0,45,48,Les Parry
2009/10,League One,3.0,44.0,21.0,44,45,Les Parry
2009/10,League One,3.0,43.0,21.0,43,44,Les Parry
2009/10,League One,3.0,42.0,21.0,42,44,Les Parry
2009/10,League One,3.0,41.0,21.0,41,41,Les Parry
2009/10,League One,3.0,40.0,21.0,40,41,Les Parry
2009/10,League One,3.0,39.0,21.0,39,41,Les Parry
2009/10,League One,3.0,38.0,18.0,38,41,Les Parry
2009/10,League One,3.0,37.0,21.0,37,38,Les Parry
2009/10,League One,3.0,36.0,20.0,36,38,Les Parry
2009/10,League One,3.0,35.0,20.0,35,37,Les Parry
2009/10,League One,3.0,34.0,20.0,34,36,Les Parry
2009/10,League One,3.0,33.0,19.0,33,36,Les Parry
2009/10,League One,3.0,32.0,19.0,32,33,Les Parry
2009/10,League One,3.0,31.0,17.0,31,33,Les Parry
2009/10,League One,3.0,30.0,22.0,30,30,Les Parry
2009/10,League One,3.0,29.0,22.0,29,29,Les Parry
2009/10,League One,3.0,28.0,22.0,28,26,Les Parry
2009/10,League One,3.0,27.0,22.0,27,26,Les Parry
2009/10,League One,3.0,26.0,22.0,26,25,Les Parry
2009/10,League One,3.0,25.0,22.0,25,22,Les Parry
2009/10,League One,3.0,24.0,22.0,24,22,Les Parry
2009/10,League One,3.0,23.0,22.0,23,21,Les Parry
